id,title,description,availability,condition,price,link,image_link,brand,google_product_category,,inventory
858275372,"Dumpster Fire 2020 Ornament, Funny Christmas Ornament, Pandemic Keepsake Ornament, Christmas Ornament, Social Distancing Gift, Dumpster Fire","This year is one for the books!  Let&#39;s commemorate this year with this beautiful porcelain ornament, which comes ready to give in a cute gift box!  Most of us aren&#39;t doing a big holiday get together, so send this cute gift in your place!   This beautiful, but hilarious Christmas ornament makes the perfect gift for anyone on your list or keep it for your own tree!  It&#39;s a great way to commemorate your time in Quarantine.  These gorgeous porcelain ornaments are 2.75&quot; wide and are made using a sublimation process with the ink is permanently printed into the porcelain- this is not vinyl!  The back of the ornament is up to you- make it single sided or double sided!

DETAILS:
2.75 inches in diameter
About 3 mm in thickness. 
Includes a beautiful ribbon for hanging.
Includes a gorgeous gift box - perfect for gift giving! 
This ornament has been made using a sublimation process. The ink is permanently printed.   it will not peel or fade so you can have it forever! 


+++ORDER WITH CONFIDENCE+++ 
Please take a minute to check out our reviews:
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,14.95 USD,https://www.etsy.com/listing/858275372/dumpster-fire-2020-ornament-funny,https://i.etsystatic.com/5636242/r/il/f0092f/2580488763/il_fullxfull.2580488763_do13.jpg,WithLoveLouise,Home & Garden,,99
671811452,"Best Friends Shirt Set, mom and me shirts, Matching Dad & Baby Tee Shirts, Mommy and Me Shirts, Matching Family Shirts, mothers day gift","These matching shirts are perfect for you and your little! Wear them out for all those extra &quot;oohs and ahhhs&quot; and &quot;how cute!&quot; Or gift them to a mommy or daddy to be.  They make the perfect baby shower gift, as well as a thoughtful and memorable gift for Mothers Day or Fathers Day! 

* THIS IS SOLD AS A SET! - You will receive an adult shirt and a children&#39;s shirt/onesie. Choose from black, white, red, or gray sets! 

UNISEX SHIRT: 
+ Super soft, high quality, Bella Canvas crew neck shirt
+ Available in XS - XXL
+ This is a unisex shirt that fits men and women perfectly! Be sure to check out our sizing chart to make sure you get the right fit!

KIDS SHIRT:
+ Available in 0 months to 24 months in a  onesie (Rabbit Skin or Wee Wear brand)
+ Available in 2T- 6T in a short sleeve shirt ( Rabbit Skin or Gildan brand)

These shirts are all printed in my home studio. Thank you for supporting my small business!CHECK OUT SOME OTHER MOTHER&#39;S DAY GIFT IDEAS HERE: https://www.etsy.com/shop/WithLoveLouise?ref=shop_sugg&section_id=26155586

+++ORDER WITH CONFIDENCE+++
Please take a minute to check out our reviews! 
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,42.95 USD,https://www.etsy.com/listing/671811452/best-friends-shirt-set-mom-and-me-shirts,https://i.etsystatic.com/5636242/r/il/60c76d/1790791334/il_fullxfull.1790791334_26x9.jpg,WithLoveLouise,Apparel & Accessories > Clothing,,99
872160201,"2020 Ornament, Personalized Ornament, Friends Christmas Ornament, Friends TV show, ornament for friend, ornament for friend","Need a thoughtful gift?  We got you!  Personalize this beautiful porcelain ornament with the name of your choice! Your FRIENDS fanatic friend will LOVE this custom ornament! This super gorgeous ornament  comes ready to give in a cute gift box!  Most of us aren&#39;t doing a big holiday get together...because why not add something else to make us sad in 2020-  so send this cute gift in your place!   These timeless ornaments are 2.75&quot; wide and are made using a sublimation process with the ink is engrained into the porcelain- this is not vinyl!  The back of the ornament is up to you- make it single sided or add the year to the opposite side!

DETAILS:
2.75 in diameter
About 3 mm in thickness
Includes a beautiful red ribbon for easy hanging! 
Includes a gorgeous gift box - perfect for gift giving! 
This ornament has been made using a sublimation process- this is not vinyl.  it will not peel or fade so you can have it forever! 

Names are spelled EXACTLY how they are typed in the personalization box, so double check!  Limit characters to 13, so they will fit.  All names will be in uppercase font and have a colored dot between each letter.  The longer the name is the smaller the font will be. Two name first names are allowed, but will be on separate lines -Example: Sarah Beth will be printed:
SARAH
BETH


Feel free to message me with any questions! 

+++ORDER WITH CONFIDENCE+++ 
Please take a minute to check out our reviews:
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,16.95 USD,https://www.etsy.com/listing/872160201/2020-ornament-personalized-ornament,https://i.etsystatic.com/5636242/r/il/f49542/2544775454/il_fullxfull.2544775454_b16n.jpg,WithLoveLouise,Home & Garden,,99
802620866,"Friends Central Perk Tumbler, Central Perk Personalized Travel Mug, Friends Coffee Mug, Friends TV show custom cup, birthday gift for her","This Central Perk Travel Mug is a must!  It makes a great personalized gift for any Friends fan! Who loves something personalized that was made just for them? EVERYONE, thats who.   These make great gifts for anyone and any occasion! Birthdays, Graduation gift, Fathers Day, Party Favors, Bridesmaids, Girls Trip, Valentine&#39;s Day, Gift for Tweens, Christmas, the possibilities are endless!   This 20 oz stainless steel tumbler has been crafted by a sublimation process- using professional printer and inks, and then used in a heat press to place the image on the mug permanently!  What does this mean? The ink is engrained in the tumbler - no fading or peeling vinyl here!  ORDER NOW! 

PRODUCT INFO:
+ Central Perk logo is one one side of tumbler and the other side has the name! Or choose no personalization for just the central perk logo!
+ 20 ounces- choose from STANDARD size or SKINNY tumblers!
+ Stainless Steel Tumbler with Ringneck Grip. 
+ Has a narrow bottom that fits most standard cup holders.
+ Keeps drinks cold for 6 hours
+ Keeps drinks hot for 2 hours
+ Vacuum seal keeps liquids and carbonation fresh.  
+ Skinny tumbler comes with a plastic straw that fits perfectly into the slide top lid!
+ Each mug is shipped via USPS and is carefully packaged, making sure it stays safe during shipping.

If you choose personalization- one side will have the Central Perk logo, and the other side will have the name.  If you choose &quot;no personalization&quot;, the tumbler will have the Central Perk logo only.  


+++ORDER WITH CONFIDENCE+++
Please take a minute to check out our reviews! 
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,29.95 USD,https://www.etsy.com/listing/802620866/friends-central-perk-tumbler-central,https://i.etsystatic.com/5636242/r/il/789346/2668970069/il_fullxfull.2668970069_ftnq.jpg,WithLoveLouise,Home & Garden,,99
820542910,"Womens Football Cotton Face Mask, comfortable face mask, GAME DAY Mask, Elastic Behind Head Face Mask, Adult Face Mask,  Washable face mask","Sick of face masks hurting your ears after a few minutes?  We&#39;ve got you covered, literally!  These masks are made to go OVER the head, and don&#39;t even touch the back of  your ears!  Perfect for those long days at work when you need a little more comfort! 

Please note, this mask does not have a pocket for a filter, but does have THREE layers of fabric for extra protection. 

+ This face mask has a shaped fit and secures over the face with elastic head straps. 
+ Adult ONE SIZE FITS MOST face mask
+ Three-ply 100% combed ring spun cotton
+ Machine washable
+ Adjustable nose bridge for a secure fit
+ Gathers at nose and chin
+ &quot;GAME DAY&quot; is displayed on left side of face mask (appears on right side when you are looking at mask).
+ Non-medical use only
+ Non-returnable",in stock,new,14.95 USD,https://www.etsy.com/listing/820542910/womens-football-cotton-face-mask,https://i.etsystatic.com/5636242/r/il/958d94/2396816018/il_fullxfull.2396816018_cj13.jpg,WithLoveLouise,Health & Beauty,,99
894842823,"Personalized Christmas Movie Fleece Blanket, This Is My Christmas Movie Watching Blanket, Christmas Movie Blanket, Christmas Blanket","The season is finally upon us!  Those Christmas movies are finally on and there is nothing better than snuggling into a warm cozy blanket, grabbing your hot chocolate and watching those movies on repeat!  You can also enjoy this throw blanket while you&#39;re reading a good book, working on a puzzle, or lounging around the house This is the perfect blanket!  It also looks beautiful draped on your chair or couch when not in use! These always sell out fast, so ORDER NOW! 

This design is printed using a sublimation process, so the design will not ever peel or crack! They are perfectly sized to share at 50&quot; x 60&quot;. Personalization is optional! It will read &quot;This is my Christmas movie watching blanket&quot; if you don&#39;t choose to personalize it.

Choose from red or gray

This oh so cozy blanket is made of 100% polyester fleece- think of your coziest sweatshirt! Since it&#39;s a &quot;sweater&quot; throw blanket, it&#39;s softer than the typical decorative throw blanket made out of polyester. It&#39;s unbelievably soft and feels extra smooth against your skin making it even easier to stay bundled up on a cold night. The sweater throw blanket can be easily cleaned in the washing machine (cold wash) and should be tumble dried on low.",in stock,new,27.95 USD,https://www.etsy.com/listing/894842823/personalized-christmas-movie-fleece,https://i.etsystatic.com/5636242/r/il/05cd59/2669467639/il_fullxfull.2669467639_e4gy.jpg,WithLoveLouise,Home & Garden,,99
738399797,"Christmas Camper Mug, Happy Holidays Trailer Gift, Christmas Camping, Holiday gift, christmas decor, christmas trailer, buffalo plaid camper","Show off your holiday spirit with this adorable Christmas camper mug.  Happy Holidays from this cute Christmas camper mug!  Whether you are enjoying the holidays in your cozy little camper or dreaming of a white Christmas on the beach, you are sure to be in the holiday spirit while sipping out of this sweet mug. 

+ Choose an 11 oz or 15 oz white ceramic mug, with either a white or black handle.
+ Dishwasher (top rack) and microwave safe 
+ Made in my home studio using a high quality sublimation process that adheres specialty inks to each 
   mug, leaving a permanent image on your mug! This image will not rub, peel, or scratch off like vinyl.
+ Writing is displayed outward when drinking with right hand. 
+ Each mug is shipped USPS Priority Mail and is carefully packaged, making sure it stays safe during 
   shipping.

Please note that color may vary slightly due to monitor settings and the handcrafted nature of this product. 


Check out my other mugs here:
https://www.etsy.com/shop/withlovelouise?section_id=16142864&ref=shopsection_leftnav_8

+++ORDER WITH CONFIDENCE+++
Please take a minute to check out our reviews! 
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,14.95 USD,https://www.etsy.com/listing/738399797/christmas-camper-mug-happy-holidays,https://i.etsystatic.com/5636242/r/il/487e53/2064160771/il_fullxfull.2064160771_eo3q.jpg,WithLoveLouise,Home & Garden,,99
873262441,"Schitts Creek Gift, Very Uninterested In That Opinion Wine Tumbler, Schitt&#39;s Creek Mug, Rose Apothecary, David Rose, Father’s Day gift","Very uninterested in that opinion tumbler -  Schitt&#39;s Creek is an instant classic, and so is this phrase! This simple but cute design is available in a playful tumbler! Gift to the Schitts Creek #1 fan or keep it for yourself!  Use this tumbler for your coffee or tea in the morning and wine or a cocktail by night.  This design is available in a 12 oz stainless steel tumbler or 20 oz travel tumbler has been crafted by a sublimation process- using professional printer and inks, and then used in a heat press to place the image on the mug permanently!  What does this mean? The ink is engrained in the tumbler - no fading or peeling vinyl here!  ORDER NOW! 

WINE TUMBLER PRODUCT INFO:
+ 12 ounces
+ Made from double-walled non-leaching and non-toxic stainless steel.
+ Keeps drinks cold for 6 hours
+ Keeps drinks hot for 2 hours
+ Vacuum seal keeps liquids and carbonation fresh.  


20 OZ TUMBLER INFO:
+ These double-walled, vacuum insulated tumblers keep any beverage hot or cold. 
+ Choose from a skinny tumbler or standard size- both are 20 oz! 
+ This popular tumbler design is great for both men and women.
+ Includes clear lid
+ Vacuum seal keeps liquids and carbonation fresh.  
+ Skinny tumbler includes plastic straw that fits in the slide lid!
+ Each one is shipped via USPS and is carefully packaged, making sure it stays safe during shipping.

Add a button pack to your order!  (see info in pictures)
CHECK OUT ALL OF OUR SCHITT&#39;S CREEK INSPIRED GIFTS HERE: 
https://www.etsy.com/shop/WithLoveLouise?ref=simple-shop-header-name&listing_id=798449916&section_id=28915972


+++ORDER WITH CONFIDENCE+++
Please take a minute to check out our reviews! 
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,24.95 USD,https://www.etsy.com/listing/873262441/schitts-creek-gift-very-uninterested-in,https://i.etsystatic.com/5636242/r/il/e07416/2610423651/il_fullxfull.2610423651_hjj8.jpg,WithLoveLouise,Home & Garden,,99
894809767,"Merry Christmas Ya Filthy Animal Mug, Home Alone Mug, Christmas Mug, Secret santa gift, gifts under 20, funny christmas mug","Show off your Home Alone movie IQ with this adorable mug that makes a perfect secret santa gift!  Gift it to a co worker, or that Home Alone fanatic!  This beautiful script lettering is eye catching and sure to make a lasting impression! 

+ Made in my home studio using a high quality sublimation process that adheres specialty inks to each mug, leaving a permanent image on your mug! This image will not rub, peel, or scratch off.
+ This super cute mug is also available in two sizes- 11 oz or 15 oz, with the option for a black handle and inside (see pics)

+ Dishwasher and microwave safe 

+ Writing is displayed outward when drinking with right hand. 

+ Each mug is shipped USPS Priority Mail and is carefully packaged, making sure it stays safe during 
shipping.


OTHER GREAT GIFTS AVAILABLE HERE:
https://www.etsy.com/shop/WithLoveLouise?ref=l2-shopheader-name§ion_id=16142864",in stock,new,14.95 USD,https://www.etsy.com/listing/894809767/merry-christmas-ya-filthy-animal-mug,https://i.etsystatic.com/5636242/r/il/988406/2669359189/il_fullxfull.2669359189_lycv.jpg,WithLoveLouise,Home & Garden,,99
798447800,"Ew David Wine Tumbler, Schitt&#39;s Creek Wine Tumbler, Rose Apothecary, Wine Traveler, Funny Schitts Creek Gift, Father’s Day gift","Ew, David wine tumbler -  Schitt&#39;s Creek is an instant classic, and so is this phrase! This simple but cute design is available in a playful tumbler! Gift to the Schitts Creek #1 fan or keep it for yourself!  Use this tumbler for your coffee or tea in the morning and wine or a cocktail by night.  This 12 oz stainless steel tumbler has been crafted by a sublimation process- using professional printer and inks, and then used in a heat press to place the image on the mug permanently!  What does this mean? The ink is engrained in the tumbler - no fading or peeling vinyl here!  ORDER NOW! 

PRODUCT INFO:
+ 12 ounces
+ Made from double-walled non-leaching and non-toxic stainless steel.
+ Keeps drinks cold for 6 hours
+ Keeps drinks hot for 2 hours
+ Vacuum seal keeps liquids and carbonation fresh.  
+ Each mug is shipped via USPS and is carefully packaged, making sure it stays safe during shipping.

Add a button pack to your order!  (see info in pictures)
CHECK OUT ALL OF OUR SCHITT&#39;S CREEK INSPIRED GIFTS HERE: 
https://www.etsy.com/shop/WithLoveLouise?ref=simple-shop-header-name&listing_id=798449916&section_id=28915972


+++ORDER WITH CONFIDENCE+++
Please take a minute to check out our reviews! 
https://www.etsy.com/shop/WithLoveLouise#reviews",in stock,new,26.95 USD,https://www.etsy.com/listing/798447800/ew-david-wine-tumbler-schitts-creek-wine,https://i.etsystatic.com/5636242/r/il/dcdd44/2388227141/il_fullxfull.2388227141_67zb.jpg,WithLoveLouise,Home & Garden,,99
